state,district,college_name
Chhattisgarh,,Maharishi University of Management and Technology
Gujarat,Ahmedabad,Ahmedabad University
Haryana,,AMITY University
Himachal Pradesh,,Chitkara University
Himachal Pradesh,,Jaypee University of Information Technology
Himachal Pradesh,,Eternal University
Himachal Pradesh,,Shoolini University of Biotechnology and Management Sciences
Himachal Pradesh,,Indus International Uniersity
Himachal Pradesh,,Arni University
Himachal Pradesh,,Manav Bharti University
Himachal Pradesh,,Bahra University
Jharkhand,Ranchi,The Institute of Chartered Financial Analysts of India University
Madhya Pradesh,,Jaypee University of Engineering & Technology
Meghalaya,East Khasi Hills,Martin Luther Christian University
Meghalaya,East Khasi Hills,Techno Global University
Meghalaya,,The Institute of Chartered Financial Analysts of India University
Meghalaya,,University of Science & Technology Meghalaya
Mizoram,,The Institute of Chartered Financial Analysts of India University
Nagaland,,The Global Open University
Nagaland,Kohima,ICFAI University
Punjab,Delhi,Lovely Professional University
Rajasthan,Jaipur,Amity University
Rajasthan,,Bhagwant University
Rajasthan,Jaipur,Jagannath University
Rajasthan,Jaipur,Jaipur National University
Rajasthan,Jodhpur,Jodhpur National University
Rajasthan,Jaipur,Jayoti Vidyapeet Women's University
Rajasthan,Jaipur,Mahatma Jyoti Rao Phoole University
Rajasthan,,Mewar University
Rajasthan,Delhi,NIMS University
Rajasthan,,Shri Jagdish Prasad Jhabarmal Tibrewala University
Rajasthan,,Sir Padmapat Singhania University
Rajasthan,,Singhania University
Rajasthan,Jaipur,Suresh Gyan Vihar University
Rajasthan,,Shridhar University
Sikkim,East Sikkim,The Institute of Chartered Financial Analysts of India University
Sikkim,East Sikkim,Sikkim Manipal University
Sikkim,East Sikkim,Vinayaka Missions Sikkim University
Tripura,West Tripura,ICFAI University
Uttar Pradesh,,AMITY University
Uttar Pradesh,,Jagadgura Rambhadracharya Handicapped University
Uttar Pradesh,Lucknow,Integral University
Uttar Pradesh,,Mangalayatan University
Uttar Pradesh,,Mohammad Ali Jauhar University
Uttar Pradesh,Delhi,Teerthanker Mahaveer University
Uttar Pradesh,,Sharda University
Uttar Pradesh,Delhi,Swami Vivekananda Subharti University
Uttarakhand,,Dev Sanakrit Vishwavidyalaya
Uttarakhand,Dehradun,Himgiri Zee University
Uttarakhand,Dehradun,The ICFAI University
Uttarakhand,Dehradun,University of Petroleum and Energy Studies
Uttarakhand,Delhi,University of Patanjali
Chandigarh,Chandigarh,Punjab University
