state,district,college_name
Gujarat,Vadodara,Sigma Polytechnic
Gujarat,Bhavnagar,"Shree Parekh Arts, Science and Commerce College"
Gujarat,Mehsana,KHERALU TALUKA UTTAR VIBHAG KELVANI MANDAL SANCHALIT SCIENCE COLLEGE
Uttar Pradesh,Unnao,"TIKADAS MAHARAJ BALIKA DEGREE COLLEGE, UNNAO"
Gujarat,Vadodara,"BABARIA INSTITUTE OF PHARMACY,VARNAMA"
Chhatisgarh,Raipur,"Shri Ram Sangeet Mahavidyalaya,Raipur"
Uttar Pradesh,Jaunpur,"Abdul Aziz Ansari Degree College, Majadiha, Shahganj , Jaunpur"
Gujarat,Kutch,Tolani Commerce College
Telangana,Medak,GEERAVANI DEGREE COLLEGE (YELDURTHY)
Karnataka,Raichur,Sri Jagadaraddya Jayashantilingeshwar Educational Society's Matoshri A. Mallamma Sharnappa Patil Arts College for women Devdurg
Gujarat,Ahmedabad,The Sandipani Shikshan Mahavidyalay
Karnataka,Bagalkot,"SREE KANAKDAS BSW COLLEGE, HUNGUND, BAGALKOT"
Karnataka,Bagalkot,SDM Trust Ayurvedic Medical College
Gujarat,Botad,Shri Kelavani Mandal Dhasa Sanchalit B.S.W. College
Maharashtra,Akola,"Shri Naikwade Kirtan Mahavidyalaya, Akola"
Gujarat,Bharuch,"Sigma Engineering College MATAR, BHARUCH"
Gujarat,Bharuch,Sigma Engineering College Matar-964
Maharashtra,Bhandara,"Manoharbhai Patel Arts Commerce Science College, Sakoli"
Karnataka,Bengaluru Urban,Vydehi Institute of Dental Sciences & Research Centre
Gujarat,Jamnagar,Shri G. H. GOSRANI COMMERCE & Shri D. D. NAGDA B.B.A.COLLEGE JAMNAGAR
Gujarat,Surat,School of Interior Design
Gujarat,Ahmedabad,"SHAYONA INSTITUTE OF BUSINESS MANAGEMENT, AHMEDABAD"
Gujarat,Rajkot,G.K.& C.K.BOSHIMIYA ARTS & COMM.JETPUR
Kerala,Kottayam,"University College of Teacher Education, Government High School Campus, Paippad, Changanacherry, Kottayam"
Maharashtra,Sindhudurg,Jaihind Gramonnati Sansthas Jaihind College of Science at Post Salgaon Tal Kudal Dist Sindhudurga
Karnataka,Belagavi,"SKET B.ED COLLEGE SRI KALAMATH, APMC ROAD, SAVADATTI"
Gujarat,Amreli,"KABARIYA ARTS, VAGHASIYA COMMERCE & BHAGAT SCIENCE MAHILA COLLEGE-AMRELI"
Telangana,Hyderabad,Presidency School of Management & Computer Science
Gujarat,Sabarkantha,H N S B COLLEGE OF MANAGEMENTSTUDIES BBA
Madhya Pradesh,Barwani,"Govt. College, Anjad"
Gujarat,Amreli,M.J.GAJERA B.ED.MAHILA COLLEGE-AMRELI
Uttar Pradesh,Mahrajganj,"DR. AMBEDKAR SMARAK EWAM SHRIMATI RAJKISHORI DEVI MAHILA MAHAVIDYALAYA, MITHAURA BAZAAR, MAHARAJGANJ"
Assam,Cachar,Lalit Jain Commerce College
Karnataka,Belagavi,Bharatesh College of Nursing
Maharashtra,Raigarh,"Mahatma Education SocietyÂ’s Pillai College of Education and Research Plot No.1, Sector-8, Khanda Colony, New Panvel (w) Â– 410"
Gujarat,Junagadh,DR.SUBHASH MAHILA COLLEGE OF EDUCATION COLLEGE JUNAGADH
Maharashtra,Pune,"Dhareshwar Vidya va Krida Pratishthans Dhareshwar College of Education, Pune"
